timestamp,price,volume
2026-01-05 14:30:00+00:00,99.9887,384
2026-01-05 14:30:00.100000+00:00,99.9755,136
2026-01-05 14:30:00.200000+00:00,99.9753,445
2026-01-05 14:30:00.300000+00:00,99.9943,171
2026-01-05 14:30:00.400000+00:00,99.9905,64
2026-01-05 14:30:00.500000+00:00,99.9633,31
2026-01-05 14:30:00.600000+00:00,99.9592,176
2026-01-05 14:30:00.700000+00:00,99.9538,677
2026-01-05 14:30:00.800000+00:00,99.958,139
2026-01-05 14:30:00.900000+00:00,99.9596,114
2026-01-05 14:30:01+00:00,99.9599,232
2026-01-05 14:30:01.100000+00:00,99.9613,78
2026-01-05 14:30:01.200000+00:00,99.9506,962
2026-01-05 14:30:01.300000+00:00,99.9495,112
2026-01-05 14:30:01.400000+00:00,99.9611,2044
2026-01-05 14:30:01.500000+00:00,99.9519,362
2026-01-05 14:30:01.600000+00:00,99.9478,102
2026-01-05 14:30:01.700000+00:00,99.9547,2051
2026-01-05 14:30:01.800000+00:00,99.9514,107
2026-01-05 14:30:01.900000+00:00,99.9375,101
2026-01-05 14:30:02+00:00,99.9617,50
2026-01-05 14:30:02.100000+00:00,99.9342,440
2026-01-05 14:30:02.200000+00:00,99.9382,203
2026-01-05 14:30:02.300000+00:00,99.9451,322
2026-01-05 14:30:02.400000+00:00,99.9528,26
2026-01-05 14:30:02.500000+00:00,99.95,209
2026-01-05 14:30:02.600000+00:00,99.9314,708
2026-01-05 14:30:02.700000+00:00,99.9352,110
2026-01-05 14:30:02.800000+00:00,99.9349,272
2026-01-05 14:30:02.900000+00:00,99.937,149
2026-01-05 14:30:03+00:00,99.9386,455
2026-01-05 14:30:03.100000+00:00,99.9277,45
2026-01-05 14:30:03.200000+00:00,99.938,452
2026-01-05 14:30:03.300000+00:00,99.9465,57
2026-01-05 14:30:03.400000+00:00,99.9462,344
2026-01-05 14:30:03.500000+00:00,99.9467,272
2026-01-05 14:30:03.600000+00:00,99.9471,86
2026-01-05 14:30:03.700000+00:00,99.9387,38
2026-01-05 14:30:03.800000+00:00,99.9428,233
2026-01-05 14:30:03.900000+00:00,99.9578,508
2026-01-05 14:30:04+00:00,99.9475,468
2026-01-05 14:30:04.100000+00:00,99.9414,503
2026-01-05 14:30:04.200000+00:00,99.9375,33
2026-01-05 14:30:04.300000+00:00,99.9168,92
2026-01-05 14:30:04.400000+00:00,99.9144,212
2026-01-05 14:30:04.500000+00:00,99.8989,289
2026-01-05 14:30:04.600000+00:00,99.8973,80
2026-01-05 14:30:04.700000+00:00,99.8829,151
2026-01-05 14:30:04.800000+00:00,99.8837,46
2026-01-05 14:30:04.900000+00:00,99.8913,246
2026-01-05 14:30:05+00:00,99.8976,112
2026-01-05 14:30:05.100000+00:00,99.8912,95
2026-01-05 14:30:05.200000+00:00,99.9093,211
2026-01-05 14:30:05.300000+00:00,99.9207,22
2026-01-05 14:30:05.400000+00:00,99.929,138
2026-01-05 14:30:05.500000+00:00,99.9318,705
2026-01-05 14:30:05.600000+00:00,99.9403,43
2026-01-05 14:30:05.700000+00:00,99.933,87
2026-01-05 14:30:05.800000+00:00,99.9438,156
2026-01-05 14:30:05.900000+00:00,99.9387,147
2026-01-05 14:30:06+00:00,99.9367,178
2026-01-05 14:30:06.100000+00:00,99.9394,90
2026-01-05 14:30:06.200000+00:00,99.9321,228
2026-01-05 14:30:06.300000+00:00,99.9292,214
2026-01-05 14:30:06.400000+00:00,99.9289,70
2026-01-05 14:30:06.500000+00:00,99.9335,123
2026-01-05 14:30:06.600000+00:00,99.9279,591
2026-01-05 14:30:06.700000+00:00,99.9319,331
2026-01-05 14:30:06.800000+00:00,99.9235,479
2026-01-05 14:30:06.900000+00:00,99.9245,378
2026-01-05 14:30:07+00:00,99.9172,200
2026-01-05 14:30:07.100000+00:00,99.9138,671
2026-01-05 14:30:07.200000+00:00,99.9104,81
2026-01-05 14:30:07.300000+00:00,99.9126,42
2026-01-05 14:30:07.400000+00:00,99.9105,744
2026-01-05 14:30:07.500000+00:00,99.9326,458
2026-01-05 14:30:07.600000+00:00,99.9401,23
2026-01-05 14:30:07.700000+00:00,99.9353,142
2026-01-05 14:30:07.800000+00:00,99.9402,142
