bucket_id,close_price,volume,n_trades,buy_volume,sell_volume,order_imbalance,vpin
0,99.9105,21376.0,75,10688.0,10688.0,0.0,
1,99.9775,21376.0,79,14068.0813,7307.9187,6760.1625,
2,99.9841,21376.0,91,11035.515,10340.485,695.0299,
3,100.0957,21376.0,75,15939.6932,5436.3068,10503.3865,
4,100.0595,21376.0,89,8805.6326,12570.3674,3764.7348,
5,100.0833,21376.0,95,11934.6652,9441.3348,2493.3303,
6,100.0963,21376.0,104,11371.6436,10004.3564,1367.2871,
7,100.0888,21376.0,65,10293.1466,11082.8534,789.7067,
8,100.0658,21376.0,84,9482.793,11893.207,2410.4139,
9,100.0435,21376.0,95,9519.1062,11856.8938,2337.7875,
10,100.0919,21376.0,81,13179.7151,8196.2849,4983.4303,
11,100.0766,21376.0,85,9883.9253,11492.0747,1608.1494,
12,100.0623,21376.0,89,9936.2578,11439.7422,1503.4844,
13,100.1628,21376.0,91,15511.4845,5864.5155,9646.969,
14,100.2623,21376.0,89,15471.6422,5904.3578,9567.2843,
15,100.2908,21376.0,77,12177.2365,9198.7635,2978.4731,
16,100.3908,21376.0,67,15491.5893,5884.4107,9607.1786,
17,100.4462,21376.0,82,13520.366,7855.634,5664.732,
18,100.5683,21376.0,81,16320.8751,5055.1249,11265.7501,
19,100.5961,21376.0,97,12141.2232,9234.7768,2906.4464,
20,100.7813,21376.0,88,18142.0003,3233.9997,14908.0005,
21,100.7617,21376.0,68,9659.4785,11716.5215,2057.0431,
22,100.577,21376.0,87,3245.5123,18130.4877,14884.9754,
23,100.5554,21376.0,74,9555.4532,11820.5468,2265.0936,
24,100.5512,21376.0,93,10466.7969,10909.2031,442.4063,
25,100.5865,21376.0,68,12524.7234,8851.2766,3673.4468,
26,100.475,21376.0,69,5440.0489,15935.9511,10495.9022,
27,100.5133,21376.0,88,12676.5272,8699.4728,3977.0544,
28,100.4816,21376.0,82,9034.687,12341.313,3306.6259,
29,100.5632,21376.0,55,14723.9618,6652.0382,8071.9236,
30,100.4716,21376.0,90,6226.3617,15149.6383,8923.2766,
31,100.4248,21376.0,73,8275.1232,13100.8768,4825.7536,
32,100.5451,21376.0,72,16257.1813,5118.8187,11138.3626,
33,100.4164,21376.0,100,4827.4079,16548.5921,11721.1842,
34,100.5846,21376.0,66,17726.1808,3649.8192,14076.3616,
35,100.4426,21376.0,91,4396.0525,16979.9475,12583.8949,
36,100.4214,21376.0,79,9576.2376,11799.7624,2223.5247,
37,100.4373,21376.0,83,11523.4514,9852.5486,1670.9029,
38,100.3694,21376.0,83,7266.3678,14109.6322,6843.2643,
39,100.1811,21376.0,77,3163.5576,18212.4424,15048.8848,
40,100.4709,21376.0,77,19801.8733,1574.1267,18227.7466,
41,100.3773,21376.0,95,6143.6328,15232.3672,9088.7344,
42,100.484,21376.0,86,15753.8515,5622.1485,10131.7029,
43,100.4861,21376.0,89,10798.6162,10577.3838,221.2324,
44,100.4809,21376.0,65,10414.1552,10961.8448,547.6897,
45,100.3642,21376.0,91,5248.2557,16127.7443,10879.4885,
46,100.3144,21376.0,84,8127.5904,13248.4096,5120.8193,
47,100.1977,21376.0,71,5248.2557,16127.7443,10879.4885,
48,100.2495,21376.0,86,13346.064,8029.936,5316.1281,
49,100.3045,21376.0,47,13501.0952,7874.9048,5626.1903,0.2994
50,100.4425,21376.0,69,16854.0471,4521.9529,12332.0941,0.311
51,100.3103,21376.0,80,4710.3467,16665.6533,11955.3065,0.3158
52,100.2943,21376.0,79,9847.3208,11528.6792,1681.3583,0.3168
53,100.2429,21376.0,67,8049.4209,13326.5791,5277.1582,0.3119
54,100.1525,21376.0,84,6276.3886,15099.6114,8823.2227,0.3166
55,100.0715,21376.0,99,6678.2046,14697.7954,8019.5908,0.3218
56,100.2048,21376.0,72,16701.9176,4674.0824,12027.8352,0.3317
57,100.1326,21376.0,85,7069.8278,14306.1722,7236.3443,0.3378
58,100.022,21376.0,62,5473.823,15902.177,10428.354,0.3453
59,100.0072,21376.0,91,9910.0858,11465.9142,1555.8285,0.3445
60,99.9908,21376.0,83,9826.4149,11549.5851,1723.1702,0.3415
61,100.0344,21376.0,70,12942.1798,8433.8202,4508.3596,0.3442
62,100.0862,21376.0,79,13346.064,8029.936,5316.1281,0.3478
63,100.0138,21376.0,83,7060.7674,14315.2326,7254.4652,0.3455
64,100.0194,21376.0,72,10982.8971,10393.1029,589.7942,0.3371
65,100.0279,21376.0,62,11135.429,10240.571,894.8581,0.3352
66,99.9043,21376.0,85,5002.5679,16373.4321,11370.8642,0.3368
67,99.9553,21376.0,71,13307.071,8068.929,5238.1421,0.3364
68,100.0558,21376.0,75,15511.4845,5864.5155,9646.969,0.3349
69,99.9809,21376.0,61,6948.1305,14427.8695,7479.7391,0.3392
70,99.9863,21376.0,86,10972.3713,10403.6287,568.7426,0.3258
71,100.0957,21376.0,78,15856.8793,5519.1207,10337.7587,0.3335
72,100.0529,21376.0,82,8473.6999,12902.3001,4428.6001,0.3237
73,100.1129,21376.0,82,13740.1908,7635.8092,6104.3816,0.3273
74,100.1035,21376.0,90,10193.2756,11182.7244,989.4487,0.3279
75,100.3458,21376.0,81,19209.2237,2166.7763,17042.4473,0.3404
76,100.3752,21376.0,79,12223.4768,9152.5232,3070.9536,0.3334
77,100.3525,21376.0,59,9498.3516,11877.6484,2379.2967,0.3319
78,100.3985,21376.0,65,13061.3283,8314.6717,4746.6566,0.3333
79,100.4457,21376.0,97,13120.6189,8255.3811,4865.2379,0.3303
80,100.3869,21376.0,83,7692.8323,13683.1677,5990.3355,0.3275
81,100.4414,21376.0,48,13476.9724,7899.0276,5577.9449,0.3282
